year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2034,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.12,7.06,8.28,5.71,6.45,3.79,7.47,6.48
2034,ACCESS-ESM1-5,r2i1p1f1,ssp370,36.1,25.31,11.41,8.34,8.9,9.2,6.28,15.83
2035,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.94,2.07,4.68,3.17,4.02,3.56,2.6,3.12
2035,ACCESS-ESM1-5,r2i1p1f1,ssp370,8.82,7.86,3.57,4.62,3.99,4.75,3.36,5.07
2036,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.38,1.31,4.19,2.6,8.67,2.09,9.02,5.64
2036,ACCESS-ESM1-5,r2i1p1f1,ssp370,5.11,5.04,5.81,4.35,10.07,1.3,7.39,6.31
2037,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.15,11.63,3.33,9.02,6.3,14.41,3.68,5.6
2037,ACCESS-ESM1-5,r2i1p1f1,ssp370,17.03,20.0,4.32,13.36,7.22,10.81,4.47,9.19
2038,ACCESS-ESM1-5,r1i1p1f1,ssp370,18.04,14.08,7.04,10.63,4.38,8.27,8.05,9.76
2038,ACCESS-ESM1-5,r2i1p1f1,ssp370,11.26,18.54,6.86,8.43,13.79,6.93,6.43,9.76
2039,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.44,9.63,4.74,7.37,3.18,8.64,4.65,6.66
2039,ACCESS-ESM1-5,r2i1p1f1,ssp370,8.49,21.18,7.69,7.66,10.5,21.08,7.57,10.08
2040,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.08,1.9,2.7,2.26,6.66,1.5,3.86,2.87
2040,ACCESS-ESM1-5,r2i1p1f1,ssp370,0.23,0.94,1.73,2.91,2.33,5.17,0.5,1.39
2041,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.63,4.95,5.07,2.7,3.68,8.6,4.79,4.81
2041,ACCESS-ESM1-5,r2i1p1f1,ssp370,1.24,0.51,4.36,2.1,5.69,11.42,4.46,3.87
2042,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.2,2.65,2.63,6.95,6.98,18.97,4.65,4.05
2042,ACCESS-ESM1-5,r2i1p1f1,ssp370,6.73,1.12,7.79,0.7,5.6,6.07,6.08,6.03
2043,ACCESS-ESM1-5,r1i1p1f1,ssp370,2.74,0.86,5.53,1.34,8.08,10.62,4.41,4.82
